direccion,telefono,ubicacion,nombre
"Av Charles Darwin y Thomas de Berlanga, Isla Santa Cruz",05-2526281,"GALAPAGOS, Puerto Ayora",Hotel Solymar
18 de Febrero y Piqueros - Isla Santa Cruz,05-2526122,"GALAPAGOS, Puerto Ayora",Hotel Fernandina
Isla Santa Cruz - Puerto Ayora. Av. Charles Darwin y 12 de Febrero,05-2526277,"GALAPAGOS, Puerto Ayora",Hotel Lobo de Mar
Punta Estrada,05-2526561,"GALAPAGOS, Puerto Ayora",Hotel Angermeyer Waterfront Inn
Avenida Baltra y Tomas de Berlanga,05-2526193,"GALAPAGOS, Puerto Ayora",Hostal Darwin
Puerto Ayora,05-3032682,"GALAPAGOS, Puerto Ayora",Hostería Piedras Blancas
Km 18 Vía Baltra,05-2527408,"GALAPAGOS, Puerto Ayora",Royal Palm
Puerto Ayora,05-2526297,"GALAPAGOS, Puerto Ayora",Finch Bay Eco Hotel
Avenida Charles Darwin,05-2526497,"GALAPAGOS, Puerto Ayora",Compañia de Buceo Scuba Iguanacorp S.A.
Cuenca y Esmeraldas Esquina,052520356,"GALAPAGOS, Isla San Cristóbal",Hospedaje Amaro Galapagos
Isla San Cristóbal Av Alsacio Northia y Esmeraldas - Galapagos,05-2520091,"GALAPAGOS, Isla San Cristóbal",GRAN HOTEL PARAISO INSULAR
Calle Balzar y Av Las Flores,05-2791131,"LOS RIOS, Vinces",Hotel Azuay
Av 6 de Diciembre N34-120 y Eloy Alfaro,02-2430600,"PICHINCHA, Quito",Hotel Akros
Av 10 de Agosto N35-77 e Ignacio San Maria,02-2257391,"PICHINCHA, Quito",Hotel Gold
Av González Suárez N27-142,02-3964900,"PICHINCHA, Quito",Hotel Quito
Juan Rodríguez E7-29 y Reina Victoria,02-2567616,"PICHINCHA, Quito",Hotel Cayman
Av Atahualpa 15-142 y Juan Francisco Bonilla,06-2956002,"IMBABURA, Ibarra",Hotel La Giralda
Calle Olmedo 940 y Pedro Moncayo,06-2644653,"IMBABURA, Ibarra",Hotel Royal Ruiz
Av Jaime Rivadeneira 5-55 y Oviedo,06-2958182,"IMBABURA, Ibarra",Hotel Montecarlo S.A.
Rafael Troya y Juan Hernandez,06-2952814,"IMBABURA, Ibarra",Hotel Turismo Internacional
Obispo Mosquera 554 y Bolívar,06-2956425,"IMBABURA, Ibarra",Hostal Ecuador
A 32 Kms. de Ibarra,06-2941135,"IMBABURA, Ibarra",Hostería Arco Iris
A Orillas del Lago San Pablo,06-2635400,"IMBABURA, Otavalo",Hostería Puerto Lago
A Orillas del Lago San Pablo,06-2918001,"IMBABURA, Otavalo",Hostería Cabañas del Lago
Panamericana Sur Km 5 1/2,06-2635400,"IMBABURA, Otavalo",Puertolago
Panamericana Sur Km 4 1/2,06-2932222,"IMBABURA, Ibarra",Hacienca Chorlavi
Panamericana Norte Km 5,06-2932222,"IMBABURA, Otavalo",Hacienda Pinsaquí
Av. 13 de Abril y Esmeraldas,06-2546528,"IMBABURA, Ibarra",San Andrés Lodge & Spa
Panamericana Norte Km 36.5 Ambuquí,06-2637146,"IMBABURA, Ambuqui",Aruba Hostería
Calle Ibarra 906 y Av 29 de Mayo,02-2750277,"SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Hotel Caleta
Av 29 de Mayo 712 y Ambato,02-2760147,"SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Hotel Unicornio
Calle Río Toachi y Av Quito (Santo Domingo de Los Tsáchilas),02-3782079,"SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Hostería Kasadasa Ecolodge
Av Quito 1261 y Río Chimbo,02-2750921,"SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Club Hotel Ida María
Av Río Toachi 680 y Galápagos,02-2767947,"SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Grand Hotel Santo Domingo
Km 26 Vía Santo Domingo - Esmeraldas,02-2773193,"SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Kashama Eco Resort & Spa
Av Chone Km 1 Fte al Sindicato de Choferes,02-3700622,"SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Victoria Suites Hotel
Carrera 21A No.16-09 Centro,06-7364745,"CARCHI, Tulcan",Hotel San Antonio
Av 6 de Diciembre N34-120 y Eloy Alfaro,02-2430600,"PICHINCHA, Quito",Hotel Akros
Av 10 de Agosto N35-77 e Ignacio San Maria,02-2257391,"PICHINCHA, Quito",Hotel Gold
Av González Suárez N27-142,02-3964900,"PICHINCHA, Quito",Hotel Quito
Juan Rodríguez E7-29 y Reina Victoria,02-2567616,"PICHINCHA, Quito",Hotel Cayman
Av Olmedo 1502 y Rocafuerte,06-2712647,"ESMERALDAS, Esmeraldas",Hotel Barracón
"Barrio Nueva Granada, Calle Principal Atacames",06-2731258,"ESMERALDAS, Atacames",Hotel Elicio's
Malecón y Los Crotos,06-2731560,"ESMERALDAS, Atacames",Hotel El Marqués
Atacames - Frente al Mar,06-2731145,"ESMERALDAS, Atacames",Hotel El Tiburon
Atacames,06-2760660,"ESMERALDAS, Esmeraldas",Hotel Club del Sol
Sector El Edén 300 mts Vía a Súa (Hotel frente al mar),06-2731782,"ESMERALDAS, Atacames",Grand Hotel Paraiso - Salinas
Tonsupa - Atacames (Entrada a San Carlos frente Escuela Heleodoro Sáenz),06-2731025,"ESMERALDAS, Tonsupa",Aqua Marina Hotel
Sánchez de Orellana y Guayaquil (esquina),03-2812352,"COTOPAXI, Latacunga",Hotel Villa de Tacvnga
Av Norte y Eloy Yerovi (Salcedo),03-2726306,"COTOPAXI, Salcedo",Hostería Rumipamba De Las Rosas
Panamericana Norte Km 20,03-2719052,"COTOPAXI, Lasso",Hacienda La Ciénega
